source,target,type
Sugal,kusiga,undirected
Sugal,Kisig,undirected
Sugal,Aratta,undirected
Sugal,šubartum,undirected
Sugal,Enlil,undirected
Sugal,Šamaš,undirected
Sugal,Alla,undirected
Sugal,Dunga,undirected
Sugal,Lumha,undirected
Sugal,Geškad,undirected
Sugal,Ninura,undirected
Sugal,Išum,undirected
Sugal,Mušdama,undirected
Sugal,Qudma,undirected
Sugal,Qudmaš,undirected
Sugal,Kuksi,undirected
Sugal,Dapan,undirected
Sugal,Gugalita,undirected
Sugal,Quqqim,undirected
Sugal,Qaqqim,undirected
Sugal,Nita,undirected
Sugal,Alamuš,undirected
Sugal,Alba,undirected
Sugal,Alha,undirected
Sugal,Baliha,undirected
Sugal,Namma,undirected
Sugal,Našše,undirected
Sugal,Ušmu,undirected
Sugal,Imšattu,undirected
Sugal,Nissaba,undirected
Sugal,Nanibgal,undirected
Sugal,Hayyum,undirected
Sugal,antum,undirected
Sugal,Lahar,undirected
Sugal,Šamkan,undirected
Sugal,Ea,undirected
Sugal,Marutuk,undirected
Sugal,Ninlil,undirected
Sugal,Ninurta,undirected
Sugal,Ilaba,undirected
Sugal,Giri,undirected
Sugal,Gira,undirected
Sugal,Ababa,undirected
Sugal,Zababa,undirected
Sugal,Ningublaga,undirected
Sugal,Lisi,undirected
Sugal,Sirsire,undirected
Sugal,Marutu,undirected
Sugal,Illa,undirected
Sugal,Lamaštum,undirected
Sugal,Halmu,undirected
Sugal,Hallamu,undirected
Sugal,Id,undirected
Sugal,Ninzazna,undirected
Sugal,Kabta,undirected
Sugal,Šalaš,undirected
Sugal,Ninti,undirected
Usab,Eridu,undirected
Usab,larsam,undirected
Usab,sippara,undirected
Usab,Sirara,undirected
Usab,Hiš,undirected
Usab,Haš,undirected
Usab,maṣit,undirected
Usab,Idiglat,undirected
Usab,purattum,undirected
Usab,Nisaba,undirected
Usab,Muru,undirected
Usab,Ennigi,undirected
Usab,Karkara,undirected
Usab,Nippur,undirected
Usab,Ur,undirected
Usab,Uruk,undirected
Usab,Kullaba,undirected
Usab,Udnim,undirected
Usab,kusiga,undirected
Usab,Kisig,undirected
Usab,Aratta,undirected
Usab,šubartum,undirected
Usab,Enlil,undirected
Usab,Šamaš,undirected
Usab,Alla,undirected
Usab,Dunga,undirected
Usab,Lumha,undirected
Usab,Geškad,undirected
Usab,Ninura,undirected
Usab,Išum,undirected
Usab,Mušdama,undirected
Usab,Qudma,undirected
Usab,Qudmaš,undirected
Usab,Kuksi,undirected
Usab,Dapan,undirected
Usab,Gugalita,undirected
Usab,Quqqim,undirected
Usab,Qaqqim,undirected
Usab,Nita,undirected
Usab,Alamuš,undirected
Usab,Alba,undirected
Usab,Alha,undirected
Usab,Baliha,undirected
Usab,Namma,undirected
Usab,Našše,undirected
Usab,Ušmu,undirected
Usab,Imšattu,undirected
Usab,Nissaba,undirected
Usab,Nanibgal,undirected
Usab,Hayyum,undirected
Usab,antum,undirected
Usab,Lahar,undirected
Usab,Šamkan,undirected
Usab,Ea,undirected
Usab,Marutuk,undirected
Usab,Ninlil,undirected
Usab,Ninurta,undirected
Usab,Ilaba,undirected
Usab,Giri,undirected
Usab,Gira,undirected
Usab,Ababa,undirected
Usab,Zababa,undirected
Usab,Ningublaga,undirected
Usab,Lisi,undirected
Usab,Sirsire,undirected
Usab,Marutu,undirected
Usab,Illa,undirected
Usab,Lamaštum,undirected
Usab,Halmu,undirected
Usab,Hallamu,undirected
Usab,Id,undirected
Usab,Ninzazna,undirected
Usab,Kabta,undirected
Usab,Šalaš,undirected
Usab,Ninti,undirected
Eridu,larsam,undirected
Eridu,sippara,undirected
Eridu,Sirara,undirected
Eridu,Hiš,undirected
Eridu,Haš,undirected
Eridu,maṣit,undirected
Eridu,Idiglat,undirected
Eridu,purattum,undirected
Eridu,Nisaba,undirected
Eridu,Muru,undirected
Eridu,Ennigi,undirected
Eridu,Karkara,undirected
Eridu,Nippur,undirected
Eridu,Ur,undirected
Eridu,Uruk,undirected
Eridu,Kullaba,undirected
Eridu,Udnim,undirected
Eridu,kusiga,undirected
Eridu,Kisig,undirected
Eridu,Aratta,undirected
Eridu,šubartum,undirected
Eridu,Enlil,undirected
Eridu,Šamaš,undirected
Eridu,Alla,undirected
Eridu,Dunga,undirected
Eridu,Lumha,undirected
Eridu,Geškad,undirected
Eridu,Ninura,undirected
Eridu,Išum,undirected
Eridu,Mušdama,undirected
Eridu,Qudma,undirected
Eridu,Qudmaš,undirected
Eridu,Kuksi,undirected
Eridu,Dapan,undirected
Eridu,Gugalita,undirected
Eridu,Quqqim,undirected
Eridu,Qaqqim,undirected
Eridu,Nita,undirected
Eridu,Alamuš,undirected
Eridu,Alba,undirected
Eridu,Alha,undirected
Eridu,Baliha,undirected
Eridu,Namma,undirected
Eridu,Našše,undirected
Eridu,Ušmu,undirected
Eridu,Imšattu,undirected
Eridu,Nissaba,undirected
Eridu,Nanibgal,undirected
Eridu,Hayyum,undirected
Eridu,antum,undirected
Eridu,Lahar,undirected
Eridu,Šamkan,undirected
Eridu,Ea,undirected
Eridu,Marutuk,undirected
Eridu,Ninlil,undirected
Eridu,Ninurta,undirected
Eridu,Ilaba,undirected
Eridu,Giri,undirected
Eridu,Gira,undirected
Eridu,Ababa,undirected
Eridu,Zababa,undirected
Eridu,Ningublaga,undirected
Eridu,Lisi,undirected
Eridu,Sirsire,undirected
Eridu,Marutu,undirected
Eridu,Illa,undirected
Eridu,Lamaštum,undirected
Eridu,Halmu,undirected
Eridu,Hallamu,undirected
Eridu,Id,undirected
Eridu,Ninzazna,undirected
Eridu,Kabta,undirected
Eridu,Šalaš,undirected
Eridu,Ninti,undirected
larsam,sippara,undirected
larsam,Sirara,undirected
larsam,Hiš,undirected
larsam,Haš,undirected
larsam,maṣit,undirected
larsam,Idiglat,undirected
larsam,purattum,undirected
larsam,Nisaba,undirected
larsam,Muru,undirected
larsam,Ennigi,undirected
larsam,Karkara,undirected
larsam,Nippur,undirected
larsam,Ur,undirected
larsam,Uruk,undirected
larsam,Kullaba,undirected
larsam,Udnim,undirected
larsam,kusiga,undirected
larsam,Kisig,undirected
larsam,Aratta,undirected
larsam,šubartum,undirected
larsam,Enlil,undirected
larsam,Šamaš,undirected
larsam,Alla,undirected
larsam,Dunga,undirected
larsam,Lumha,undirected
larsam,Geškad,undirected
larsam,Ninura,undirected
larsam,Išum,undirected
larsam,Mušdama,undirected
larsam,Qudma,undirected
larsam,Qudmaš,undirected
larsam,Kuksi,undirected
larsam,Dapan,undirected
larsam,Gugalita,undirected
larsam,Quqqim,undirected
larsam,Qaqqim,undirected
larsam,Nita,undirected
larsam,Alamuš,undirected
larsam,Alba,undirected
larsam,Alha,undirected
larsam,Baliha,undirected
larsam,Namma,undirected
larsam,Našše,undirected
larsam,Ušmu,undirected
larsam,Imšattu,undirected
larsam,Nissaba,undirected
larsam,Nanibgal,undirected
larsam,Hayyum,undirected
larsam,antum,undirected
larsam,Lahar,undirected
larsam,Šamkan,undirected
larsam,Ea,undirected
larsam,Marutuk,undirected
larsam,Ninlil,undirected
larsam,Ninurta,undirected
larsam,Ilaba,undirected
larsam,Giri,undirected
larsam,Gira,undirected
larsam,Ababa,undirected
larsam,Zababa,undirected
larsam,Ningublaga,undirected
larsam,Lisi,undirected
larsam,Sirsire,undirected
larsam,Marutu,undirected
larsam,Illa,undirected
larsam,Lamaštum,undirected
larsam,Halmu,undirected
larsam,Hallamu,undirected
larsam,Id,undirected
larsam,Ninzazna,undirected
larsam,Kabta,undirected
larsam,Šalaš,undirected
larsam,Ninti,undirected
sippara,Sirara,undirected
sippara,Hiš,undirected
sippara,Haš,undirected
sippara,maṣit,undirected
sippara,Idiglat,undirected
sippara,purattum,undirected
sippara,Nisaba,undirected
sippara,Muru,undirected
sippara,Ennigi,undirected
sippara,Karkara,undirected
sippara,Nippur,undirected
sippara,Ur,undirected
sippara,Uruk,undirected
sippara,Kullaba,undirected
sippara,Udnim,undirected
sippara,kusiga,undirected
sippara,Kisig,undirected
sippara,Aratta,undirected
sippara,šubartum,undirected
sippara,Enlil,undirected
sippara,Šamaš,undirected
sippara,Alla,undirected
sippara,Dunga,undirected
sippara,Lumha,undirected
sippara,Geškad,undirected
sippara,Ninura,undirected
sippara,Išum,undirected
sippara,Mušdama,undirected
sippara,Qudma,undirected
sippara,Qudmaš,undirected
sippara,Kuksi,undirected
sippara,Dapan,undirected
sippara,Gugalita,undirected
sippara,Quqqim,undirected
sippara,Qaqqim,undirected
sippara,Nita,undirected
sippara,Alamuš,undirected
sippara,Alba,undirected
sippara,Alha,undirected
sippara,Baliha,undirected
sippara,Namma,undirected
sippara,Našše,undirected
sippara,Ušmu,undirected
sippara,Imšattu,undirected
sippara,Nissaba,undirected
sippara,Nanibgal,undirected
sippara,Hayyum,undirected
sippara,antum,undirected
sippara,Lahar,undirected
sippara,Šamkan,undirected
sippara,Ea,undirected
sippara,Marutuk,undirected
sippara,Ninlil,undirected
sippara,Ninurta,undirected
sippara,Ilaba,undirected
sippara,Giri,undirected
sippara,Gira,undirected
sippara,Ababa,undirected
sippara,Zababa,undirected
sippara,Ningublaga,undirected
sippara,Lisi,undirected
sippara,Sirsire,undirected
sippara,Marutu,undirected
sippara,Illa,undirected
sippara,Lamaštum,undirected
sippara,Halmu,undirected
sippara,Hallamu,undirected
sippara,Id,undirected
sippara,Ninzazna,undirected
sippara,Kabta,undirected
sippara,Šalaš,undirected
sippara,Ninti,undirected
Sirara,Hiš,undirected
Sirara,Haš,undirected
Sirara,maṣit,undirected
Sirara,Idiglat,undirected
Sirara,purattum,undirected
Sirara,Nisaba,undirected
Sirara,Muru,undirected
Sirara,Ennigi,undirected
Sirara,Karkara,undirected
Sirara,Nippur,undirected
Sirara,Ur,undirected
Sirara,Uruk,undirected
Sirara,Kullaba,undirected
Sirara,Udnim,undirected
Sirara,kusiga,undirected
Sirara,Kisig,undirected
Sirara,Aratta,undirected
Sirara,šubartum,undirected
Sirara,Enlil,undirected
Sirara,Šamaš,undirected
Sirara,Alla,undirected
Sirara,Dunga,undirected
Sirara,Lumha,undirected
Sirara,Geškad,undirected
Sirara,Ninura,undirected
Sirara,Išum,undirected
Sirara,Mušdama,undirected
Sirara,Qudma,undirected
Sirara,Qudmaš,undirected
Sirara,Kuksi,undirected
Sirara,Dapan,undirected
Sirara,Gugalita,undirected
Sirara,Quqqim,undirected
Sirara,Qaqqim,undirected
Sirara,Nita,undirected
Sirara,Alamuš,undirected
Sirara,Alba,undirected
Sirara,Alha,undirected
Sirara,Baliha,undirected
