,designation,period,provenience,museum_no
P405243,"SANER 2, 28",Old Babylonian,Uruk (mod. Warka),MLC 02679
P405245,"SANER 2, 39",Old Babylonian,Uruk (mod. Warka),NCBT 01845
P405246,"Nisaba 04/1, 01",Old Babylonian,Uruk (mod. Warka),BM 023443
P405247,"Nisaba 04/1, 02",Old Babylonian,Uruk (mod. Warka),BM 015596
P405248,"Nisaba 04/1, 03",Old Babylonian,Uruk (mod. Warka),BM 015606
P405249,"Nisaba 04/1, 04",Old Babylonian,Uruk (mod. Warka),BM 022734
P405250,"Nisaba 04/1, 05",Old Babylonian,Uruk (mod. Warka),BM 023248
P405251,"Nisaba 04/1, 06",Old Babylonian,Uruk (mod. Warka),BM 023238
P405252,"Nisaba 04/1, 07",Old Babylonian,Uruk (mod. Warka),BM 015621
P405253,"Nisaba 04/1, 08",Old Babylonian,Uruk (mod. Warka),BM 015609
P405254,"Nisaba 04/1, 09",Old Babylonian,Uruk (mod. Warka),BM 023435
P405255,"Nisaba 04/1, 10",Old Babylonian,Uruk (mod. Warka),BM 022722
P405256,"Nisaba 04/1, 11",Old Babylonian,Uruk (mod. Warka),BM 015676
P405257,"Nisaba 04/1, 12",Old Babylonian,Uruk (mod. Warka),BM 023458
P405258,"Nisaba 04/1, 13",Old Babylonian,Uruk (mod. Warka),BM 022731
P405259,"Nisaba 04/1, 14",Old Babylonian,Uruk (mod. Warka),BM 023440
P405260,"Nisaba 04/1, 15",Old Babylonian,Uruk (mod. Warka),BM 023213
P405261,"Nisaba 04/1, 16",Old Babylonian,Uruk (mod. Warka),BM 022784
P405262,"Nisaba 04/1, 17",Old Babylonian,Uruk (mod. Warka),BM 023209
P405263,"Nisaba 04/1, 18",Old Babylonian,Uruk (mod. Warka),BM 022723
P405264,"Nisaba 04/1, 19",Old Babylonian,Uruk (mod. Warka),BM 015692
P405265,"Nisaba 04/1, 20",Old Babylonian,Uruk (mod. Warka),BM 023434
P405266,"Nisaba 04/1, 21",Old Babylonian,Uruk (mod. Warka),BM 022727
P405267,"Nisaba 04/1, 22",Old Babylonian,Uruk (mod. Warka),BM 016441
P405268,"Nisaba 04/1, 23",Old Babylonian,Uruk (mod. Warka),BM 016432
P405269,"Nisaba 04/1, 24",Old Babylonian,Uruk (mod. Warka),BM 023470
P405270,"Nisaba 04/1, 25",Old Babylonian,Uruk (mod. Warka),BM 023221
P405271,"Nisaba 04/1, 26",Old Babylonian,Uruk (mod. Warka),BM 016448
P405272,"Nisaba 04/1, 27",Old Babylonian,Uruk (mod. Warka),BM 016446
P405273,"Nisaba 04/1, 28",Old Babylonian,Uruk (mod. Warka),BM 023259
P405274,"Nisaba 04/1, 29",Old Babylonian,Uruk (mod. Warka),BM 085135
P405275,"Nisaba 04/1, 30",Old Babylonian,Uruk (mod. Warka),BM 015774
P405276,"Nisaba 04/1, 31",Old Babylonian,Uruk (mod. Warka),BM 023465
P405277,"Nisaba 04/1, 32",Old Babylonian,Uruk (mod. Warka),BM 016435
P405278,"Nisaba 04/1, 33",Old Babylonian,Uruk (mod. Warka),BM 016443
P405279,"Nisaba 04/1, 34",Old Babylonian,Uruk (mod. Warka),BM 016461
P405280,"Nisaba 04/1, 35",Old Babylonian,Uruk (mod. Warka),BM 097639
P405281,"Nisaba 04/1, 36",Old Babylonian,Uruk (mod. Warka),BM 016462
P405282,"Nisaba 04/1, 37",Old Babylonian,Uruk (mod. Warka),BM 023252
P405283,"Nisaba 04/1, 38",Old Babylonian,Uruk (mod. Warka),BM 016450
P405284,"Nisaba 04/1, 39",Old Babylonian,Uruk (mod. Warka),BM 022720
P405285,"Nisaba 04/1, 40",Old Babylonian,Uruk (mod. Warka),BM 023402
P405286,"Nisaba 04/1, 41",Old Babylonian,Uruk (mod. Warka),BM 016439
P405287,"Nisaba 04/1, 42",Old Babylonian,Uruk (mod. Warka),BM 022732
P405288,"Nisaba 04/1, 43",Old Babylonian,Uruk (mod. Warka),BM 015594
P405289,"Nisaba 04/1, 44",Old Babylonian,Uruk (mod. Warka),BM 015593
P405290,"Nisaba 04/1, 45",Old Babylonian,Uruk (mod. Warka),BM 085142
P405291,"Nisaba 04/1, 46",Old Babylonian,Uruk (mod. Warka),BM 022726
P405292,"Nisaba 04/1, 47",Old Babylonian,Uruk (mod. Warka),BM 015643
P405293,"Nisaba 04/1, 48",Old Babylonian,Uruk (mod. Warka),BM 085032
P405294,"Nisaba 04/1, 49",Old Babylonian,Uruk (mod. Warka),BM 085414
P405295,"Nisaba 04/1, 50",Old Babylonian,Uruk (mod. Warka),BM 023472
P405296,"Nisaba 04/1, 51",Old Babylonian,Uruk (mod. Warka),BM 022724
P405297,"Nisaba 04/1, 52",Old Babylonian,Uruk (mod. Warka),BM 023461
P405298,"Nisaba 04/1, 53",Old Babylonian,Uruk (mod. Warka),BM 015607
P405299,"Nisaba 04/1, 54",Old Babylonian,Uruk (mod. Warka),BM 023430
P405300,"Nisaba 04/1, 55",Old Babylonian,Uruk (mod. Warka),BM 015702
P405301,"Nisaba 04/1, 56",Old Babylonian,Uruk (mod. Warka),BM 015654
