,designation,period,provenience,museum_no,accession_no,excavation_no
P230782,"SLFN 76, 3N-T904, 144",Old Babylonian,Nippur,,,"3N-T0904, 144"
P230783,N 5281,Old Babylonian,Nippur,N 5281,,
P230784,N 5900,Old Babylonian,Nippur,N 5900,,
P230785,N 5967,Old Babylonian,Nippur,N 5967,,
P230786,CBS 04582 + Ist Ni 05059,Old Babylonian,Nippur,CBS 04582 + Ist Ni 05059,,
P230787,N 5884,Old Babylonian,Nippur,N 5884,,
P230788,UM 55-21-058,Old Babylonian,Nippur,UM 55-21-058,,2N-T0269
P230789,CBS 06000,Old Babylonian,Nippur,CBS 06000,,
P230790,"SLFN 75, 3N-T906, 247",Old Babylonian,Nippur,,,"3N-T0906, 247"
P230791,N 7117,Old Babylonian,Nippur,N 7117,,
P230792,CBS 06699,Old Babylonian,Nippur,CBS 06699,,
P230793,CBS 06711,Old Babylonian,Nippur,CBS 06711,,
P230794,CBS 10311,Old Babylonian,Nippur,CBS 10311,,
P230796,CBS 14027,Old Babylonian,Nippur,CBS 14027,,
P230797,UM 29-15-142,Old Babylonian,Nippur,UM 29-15-142,,
P230801,IM 057879,Old Babylonian,Nippur,IM 057879,newpenn,2N-T0278
P230802,IM 057967,Old Babylonian,Nippur,IM 057967,newpenn,2N-T0368
P230803,IM 058560,Old Babylonian,Nippur,IM 058560,newpenn,3N-T0569
P230804,IM 058568,Old Babylonian,Nippur,IM 058568,,3N-T0586
P230805,IM 058583,Old Babylonian,Nippur,IM 058583,,3N-T0622
P230806,IM 058639,Old Babylonian,Nippur,IM 058639,newpenn,3N-T0706
P230817,3N-T0914bb,Old Babylonian,Nippur,,,3N-T0914bb
P230819,"JAOS 120, 399",Old Babylonian,Nippur,UM 55-21-437,,3N-T0363
P230975,N 6037,Old Babylonian,Nippur,N 6037,,
P230985,N 6100,Old Babylonian,Nippur,N 6100,,
P231090,N 4668,Old Babylonian,Nippur,N 4668,,
P231335,N 5381,Old Babylonian,Nippur,N 5381,,
P231388,Ist Ni 05364,Old Babylonian,Nippur,Ist Ni 05364,,
P231407,N 5529,Old Babylonian,Nippur,N 5529,,
P231446,Ist Ni 01576,Old Babylonian,Nippur,Ist Ni 01576,,
P231447,Ist Ni 05371 + Ist Ni 10032,Old Babylonian,Nippur,Ist Ni 05371 + Ist Ni 10032,,
P231448,HS 1550 + HS 1551 + HS 1614 + HS 1724 + HS 1850 + HS 1865 + HS 2510 + HS 2634 + HS 2911,Old Babylonian,Nippur,HS 1550 + HS 1551 + HS 1614 + HS 1724 + HS 1850 + HS 1865 + HS 2510 + HS 2634 + HS 2911,,
P231449,HS 2500a,Old Babylonian,Nippur,HS 2500a,,
P231450,HS 2607,Old Babylonian,Nippur,HS 2607,,
P231451,HS 2916,Old Babylonian,Nippur,HS 2916,,
P231617,"Proverbs 144, Ni 05098",Old Babylonian,Nippur,Ist Ni 05098,,
P231716,N 6981,Old Babylonian,Nippur,N 6981,,
P231757,"TMN p. 331, Ist Ni 03242",Old Babylonian,Nippur,Ist Ni 03242,,
P248006,HMA 9-01915,Old Babylonian,uncertain,HMA 9-01915,,
P250815,MS 2043,Old Babylonian,uncertain,MS 2043,,
P251517,MS 2280,Old Babylonian,uncertain,MS 2280,,
P251564,MS 2341,Old Babylonian,uncertain,MS 2341,,
P251568,MS 2348,Old Babylonian,uncertain,MS 2348,,
P252249,MS 3308,Old Babylonian,uncertain,MS 3308,,
P252260,MS 3319,Old Babylonian,uncertain,MS 3319,,
P252262,MS 3321,Old Babylonian,uncertain,MS 3321,,
P252271,MS 3330,Old Babylonian,uncertain,MS 3330,,
P252274,MS 3333,Old Babylonian,uncertain,MS 3333,,
P252280,MS 3339,Old Babylonian,uncertain,MS 3339,,
P252290,MS 3349,Old Babylonian,uncertain,MS 3349,,
P252326,MS 3385,Old Babylonian,uncertain,MS 3385,,
P253216,MS 4119,Old Babylonian,uncertain,MS 4119,,
P253576,MS 4423,Old Babylonian,uncertain,MS 4423,,
P254010,MS 4979,Old Babylonian,uncertain,MS 4979,,
P255081,UM 29-15-617,Old Babylonian,Nippur,UM 29-15-617,,
P256835,UM 29-16-291 + N 4167,Old Babylonian,Nippur,UM 29-16-291 + N 4167,,
P256988,UM 29-16-500,Old Babylonian,Nippur,UM 29-16-500,,
P266507,CBS 11358 + N 1960 + N 5871,Old Babylonian,Nippur,CBS 11358 + N 1960 + N 5871,,
P266538,CBS 11399,Old Babylonian,Nippur,CBS 11399,,
P273797,Education in the Earliest Schools no. 056,Old Babylonian,uncertain,"PARS 12/01, 002",96230,
P273878,Education in the Earliest Schools no. 178,Old Babylonian,uncertain,"PARS 12/01, 151",96281,
P273879,Education in the Earliest Schools no. 180,Old Babylonian,uncertain,"PARS 12/01, 152",96283,
P276516,N 1369 + N 1381,Old Babylonian,Nippur,N 1369 + N 1381,,
P276764,N 1640,Old Babylonian,Nippur,N 1640,,
P279804,N 5723,Old Babylonian,Nippur,N 5723,,
P283681,"UET 5, 260",Old Babylonian,Ur,UM 52-30-122,,U 17214n
P283684,"UET 5, 322",Old Babylonian,Ur,BM 131299,,
P283685,"UET 5, 366",Old Babylonian,Ur,IM -,,U 17212l
P283687,"UET 5, 388",Old Babylonian,Ur,IM -,,U 17215e
P283689,"UET 5, 428",Old Babylonian,Ur,BM 131326,,
P289409,"CBCY 02, p. 089, NBC 08623",Old Babylonian,uncertain,NBC 08623,,
P290144,"CBCY 02, p. 072, NBC 07800a",Old Babylonian,uncertain,NBC 07800A,,
P299975,"CBCY 02, p. 089, NBC 08630",Old Babylonian,uncertain,NBC 08630,,
P313251,ARN 135,Old Babylonian,Nippur,Ist Ni 03038,,
P342643,MS 3176/5,Old Babylonian,uncertain,MS 3176/5,,
P342646,MS 3179,Old Babylonian,uncertain,MS 3179,,
P349178,"AUWE 23, 183",Old Babylonian,Uruk,VAT 21657,,"W 16603,ba"
