,id_line,label,lemma,base
122,Q000767.86,86,sux:igi[eye]N sux:zahda[piglet]N sux:ur[roam]V/i,igi ŠAH₂{+ze₂-eh}-TUR ur₄-ur₄
123,Q000767.87,87,sux:e[house]N sux:diŋir[deity]N sux:eš[shrine]N sux:didli[several]AJ sux:idu[doorkeeper]N sux:gudug[priest]N sux:usag[sleep]N sux:igi[face]N sux:dag[demolish]V/t sux:ennuŋ[imprisonment]N sux:ak[do]V/t,e₂ diŋir eš₃ didli i₃-du₈ gudug u₃-sa₂ igi dag en-nu-uŋ₃ ak
124,Q000767.88,88,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:kag[mouth]N sux:gu[eat]V/t,lu₂-tumu saŋ ka gu₇
125,Q000767.89,89,sux:šaggal[food]N sux:kuš[devastation]N sux:kalam[land]N sux:niŋin[encircle]V/t,šag₄-gal kuš₇ kalam niŋin
126,Q000767.9,9,sux:ŋen[go]V/i sux:gabari[copy]N sux:gub[stand]V/i sux:in[abuse]N sux:til[complete]V/i,ŋa₂ gaba-ri gub in til
127,Q000767.90,90,sux:anaš[why?]QP sux:in[abuse]N sux:zu[know]V/t sux:dub[tremble]V/i,a-na-aš in zu dub₂-dub₂
128,Q000767.91,91,sux:aga[rear]N sux:gub[stand]V/i sux:igi[eye]N sux:in[abuse]N sux:til[complete]V/i,a-ga gub igi in til
129,Q000767.92,92,sux:ŋen[go]V/i sux:zal[pass]V/t sux:kiŋ[work]N sux:la[hang]V/t,ŋen zal kiŋ₂ la₂
130,Q000767.93,93,sux:ni[self]RP sux:buluŋ[grow]V/t sux:ašag[field]N sux:ŋen[go]V/i sux:aŋala[sack]N sux:šu[hand]N sux:la[hang]V/t,ni₂ buluŋ₅ a-šag₄ ŋen {kuš}a-ŋa₂-la šu la₂
131,Q000767.94,94,sux:luhuŋa[hireling]N sux:egir[back]N sux:karkid[prostitute]N,lu₂-huŋ egir kar-kid
132,Q000767.95,95,sux:gigur[container]N sux:u[grass]N sux:deg[collect]V/t sux:il[raise]V/t,gi-gur u₂ degₓ(RI) il₂-il₂
133,Q000767.96,96,sux:ud[sun]N sux:buru[harvest]N sux:a[arm]N sux:šaggal[food]N sux:sa[equal]V/t,ud buru₁₄ a₂ šag₄-gal sa₂
134,Q000767.97,97,sux:kiŋ[work]N sux:zah[disappear]V/i sux:šakanka[market]N sux:šeg[voice]N sux:dug[speak]V/t sux:gub[stand]V/i,kiŋ₂ zah₂ šakanka šed₁₅ dug₄ gub
135,Q000767.98,98,sux:e[house]N sux:lu[person]N sux:diŋir[deity]N sux:kašdea[banquet]N sux:du[go]V/t,e₂ lu₂ diŋir kaš-de₂-a du
136,Q000767.99,99,sux:egir[back]N sux:lu[person]N sux:kašdea[banquet]N sux:kur[enter]V/i,egir lu₂ kaš-de₂-a kur₉
