,designation,period,provenience,museum_no,accession_no,excavation_no
P364381,BM 034592,Seleucid,Babylon,BM 034592,"Sp 2, 065",
P364382,BM 034875,Seleucid,Babylon,BM 034875,"Sp 2, 382",
P364383,BM 034714,Seleucid,Babylon,BM 034714,"Sp 2, 203",
P364384,BM 034764,Seleucid,Babylon,BM 034764,"Sp 2, 257",
P364385,BM 034578,Seleucid,Babylon,BM 034578,"Sp 2, 050",
P364386,BM 034958,Seleucid,Babylon,BM 034958,"Sp 2, 479",
P364387,BM 034907,Seleucid,Babylon,BM 034907,"Sp 2, 421",
P364388,BM 034601,Seleucid,Babylon,BM 034601,"Sp 2, 075",
P364389,BM 034901,Seleucid,Babylon,BM 034901,"Sp 2, 413",
P364390,BM 034517,Seleucid,Babylon,BM 034517,"Sp, 641",
P364391,BM 034800,Seleucid,Babylon,BM 034800,"Sp 2, 293",
P364392,BM 034724,Seleucid,Babylon,BM 034724,"Sp 2, 214",
P368166,BM 078822,Neo-Babylonian,unknown,BM 078822,,
P368167,SÉ 095,Old Babylonian,unknown,SÉ 095,,
P368168,IM 052001,Old Babylonian,Tell Harmal,IM 052001,,HL1-46
P368169,IM 092092,Old Babylonian,Tell es-Seeb,IM 092092,,S2-698
P368170,IM 058573,Old Babylonian,Nippur,IM 058573,,3N-T 594
P368171,A 30279,Old Babylonian,Nippur,A 30279,,3N-T 611
P368172,IM -,Standard Babylonian,Sippar,IM -,,Sippar 2175/12
P368173,HAM 73.2668b,Old Babylonian,unknown,HAM 73.2668b,,
P368174,MM 367,Old Babylonian,unknown,MM 367,,
P368175,MM 726,Old Babylonian,unknown,MM 726,,
P368176,"W 20248,12",Old Babylonian,Uruk,,,"W 20248,12"
P368177,"W 20248,15",Old Babylonian,Uruk,,,"W 20248,15"
P368178,"W 20248,21",Old Babylonian,Uruk,,,"W 20248,21"
P368179,"W 20248,22",Old Babylonian,Uruk,,,"W 20248,22"
P368180,"W 20248,23",Old Babylonian,Uruk,,,"W 20248,23"
P368181,"W 20248,24",Old Babylonian,Uruk,,,"W 20248,24"
P368182,"W 20248,25",Old Babylonian,Uruk,,,"W 20248,25"
P368183,BM 067314,Standard Babylonian,Sippar,BM 067314,"1882-09-18, 7310",
P368184,VA 02596,Old Babylonian,unknown,VA 02596,,
P368185,VAT 01155,Old Babylonian,unknown,VAT 01155,,
P368186,"BE 20/1, 31",Old Babylonian,Nippur,,,
P368187,"BE 20/1, 32",Old Babylonian,Nippur,,,
P368188,"BE 20/1, 36",Old Babylonian,Nippur,,,
P368189,"BE 20/1, 39",Old Babylonian,Nippur,,,
P368190,"BE 20/1, 40",Old Babylonian,Nippur,,,
P368191,"BE 20/1, 41",Old Babylonian,Nippur,,,
P368192,"BE 20/1, 42",Old Babylonian,Nippur,,,
P368193,"BE 20/1, 43",Old Babylonian,Nippur,,,
P368194,BM 141493,Seleucid,Uruk,BM 141493,"1990-01-30, 01",
P368195,BM 040813,Seleucid,Babylon,BM 040813,"1881-04-28, 359",
P368196,IM --,Old Babylonian,Sippar Yahrurum,IM --,,Si 337
P368197,IM 085943,Old Babylonian,Sippar Yahrurum,IM 085943,,
P368198,TH 84.046,Old Assyrian,Mari,,,TH 84.046
P368199,TH 84.008,Old Assyrian,Mari,,,TH 84.008
P368200,TH 84.009,Old Assyrian,Mari,,,TH 84.009
P368201,BM 029440,Neo-Babylonian,unknown,BM 029440,,
P368202,TS B V 115,Old Babylonian,Susa,,,TS B V 115
P368203,CULC 457 (Plimpton 319),Old Babylonian,unknown,CULC 457 (Plimpton 319),,
P368204,CULC 455 (Plimpton 317),Old Babylonian,unknown,CULC 455 (Plimpton 317),,
P368205,CULC 458 (Plimpton 320),Old Babylonian,unknown,CULC 458 (Plimpton 320),,
P368206,BM 051077,Standard Babylonian,Sippar,BM 051077,"1882-03-23, 2073",
P368207,IAA 1997-3306,Middle Babylonian,Hazor,IAA 1997-3306,,
P368208,IMJ 80.20.201,Old Babylonian,unknown,IMJ 80.20.201,,
P368209,HT 215,Middle Babylonian,Haft Tepe,,,HT 215
P368210,HT 222,Middle Babylonian,Haft Tepe,,,HT 222
P368211,IB 1505,Old Babylonian,Isin,,,IB 1505
P368212,IB 1505,Old Babylonian,Isin,,,IB 1505
P368213,IB 1625 +,Old Babylonian,Isin,,,IB 1625 +
P368214,BM 036654,Seleucid,Babylon,BM 036654,"1880-06-17, 386",
P368215,BM 055557,Seleucid,Babylon,BM 055557,"1882-07-04, 147+204",
P368216,BM 076984 (+),Seleucid,Babylon,BM 076984 (+),"1883-01-18, 2356+2648",
P368217,BM 078079,Seleucid,Babylon,BM 078079,"1886-05-12, 004",
P368218,BM 099633,Seleucid,Babylon,BM 099633,"1884-02-01, 1995",
P368219,Deir-ez-Zor 2961,Old Assyrian,Terqa,Deir-ez-Zor 2961,,
P368220,M 07857,Old Assyrian,Mari,,,M 07857
P368221,"MDP 27, 059",Old Babylonian,Susa,,,
P368222,Di 0102,Old Babylonian,Sippar Amnanum,Di 0102,,Di 0102
P368223,Di 2232,Old Babylonian,Sippar Amnanum,Di 2232,,Di 2232
P368224,Di 2234,Old Babylonian,Sippar Amnanum,Di 2234,,Di 2234
P368225,Di 0746,Old Babylonian,Sippar Amnanum,Di 0746,,Di 0746
P368226,Di 2207,Old Babylonian,Sippar Amnanum,Di 2207,,Di 2207
P368227,BM 078084,Seleucid,Babylon,BM 078084,1886-05-21,
P368228,Bab 36621,Middle Babylonian,Babylon,Bab 36621,,
P368229,A 21948,Old Babylonian,Ishchali,A 21948,,Ish 34-T 149
P368230,Ash 1924.1217,Neo-Babylonian,Kish,Ash 1924.1217,,
P368231,Ash 1924.1098 +,Neo-Babylonian,Kish,Ash 1924.1098 +,,
P368232,Ash 1924.1242,Neo-Babylonian,Kish,Ash 1924.1242,,
P368233,Ash 1924.1048,Neo-Babylonian,Kish,Ash 1924.1048,,
P368234,Ash 1924.1520 +,Neo-Babylonian,Kish,Ash 1924.1520 +,,
P368235,Ash 1924.1760,Neo-Babylonian,Kish,Ash 1924.1760,,
P368236,Ash 1922.168,Old Babylonian,unknown,Ash 1922.168,,
P368237,BM 080762,Old Babylonian,unknown,BM 080762,,
P368238,CUA 063,Old Babylonian,unknown,CUA 063,,
P368239,CUA 036,Old Babylonian,unknown,CUA 036,,
P368240,YBC 07345,Old Babylonian,unknown,YBC 07345,,
P368241,Ass 13956dr,Neo-Assyrian,Assur,Ass 13956dr,,
P368242,"RA 035, 092",Old Babylonian,Susa,,,
P368243,"RA 035, 096",Old Babylonian,Susa,,,
P368244,IM 058446 +,Old Babylonian,Nippur,IM 058446 +,,3N-T 362 + 3N-T 366
P368245,Ash 1922.178,Old Babylonian,Larsa,Ash 1922.178,,
P368246,Ash 1923.447,Old Babylonian,Larsa,Ash 1923.447,,
P368247,Ash 1923.451,Old Babylonian,Larsa,Ash 1923.451,,
P368248,Ash 1923.450,Old Babylonian,Larsa,Ash 1923.450,,
P368249,Ash 1924.0472,Old Babylonian,unknown,Ash 1924.0472,,
P368251,Ash 1923.318,Old Babylonian,Larsa,Ash 1923.318,,
P368252,Ash 1923.410,Old Babylonian,Larsa,Ash 1923.410,,
P368254,Ash 1933.180,Old Babylonian,unknown,Ash 1933.180,,
P368255,Bodleian AB 216,Old Babylonian,unknown,Bodleian AB 216,,
P368256,Ash 1924.0590,Old Babylonian,Kish,Ash 1924.0590,,
P368257,Ash 1929.833,Old Babylonian,Kish,Ash 1929.833,,
P368258,Ash 1924.1214,Old Babylonian,Kish,Ash 1924.1214,,
P368260,Ash 1931.137,Old Babylonian,Kish,Ash 1931.137,,
P368261,BM 096949,Old Babylonian,Sippar,BM 096949,,
P368262,Ash 1924.0573,Old Babylonian,Kish,Ash 1924.0573,,
P368264,Ash 1924.0564,Old Babylonian,unknown,Ash 1924.0564,,
P368265,Ash 1931.091,Old Babylonian,Kish,Ash 1931.091,,
P368266,Ash 1932.180,Old Babylonian,Kish,Ash 1932.180,,
P368268,Ash 1932.187h,Neo-Babylonian,Kish,Ash 1932.187h,,
P368269,Ash 1924.1278,Neo-Babylonian,Kish,Ash 1924.1278,,
P368270,Ash 1924.1477,Neo-Babylonian,Kish,Ash 1924.1477,,
P368271,Ash 1924.1450,Neo-Babylonian,Kish,Ash 1924.1450,,
P368272,Ash 1924.1196,Neo-Babylonian,Kish,Ash 1924.1196,,
P368273,Ash 1924.2214,Neo-Babylonian,Kish,Ash 1924.2214,,
P368274,Ist S 269,Old Babylonian,Sippar,Ist S 269,,
P368275,Ist S 511,Old Babylonian,Sippar,Ist S 511,,
P368276,"3N-T 906, 246",Old Babylonian,Nippur,"3N-T 906, 246",,"3N-T 906, 246"
P368277,HS 0232,Old Babylonian,Nippur,HS 0232,,
P368278,HS 0231,Old Babylonian,Nippur,HS 0231,,
P368279,Erm 15218,,unknown,Erm 15218,,
P368280,79.B.1/059 +,Neo-Babylonian,Babylon,79.B.1/059 +,,79.B.1/059 +
P368281,79.B.1/070,Neo-Babylonian,Babylon,79.B.1/070,,79.B.1/070
P368282,79.B.1/119,Neo-Babylonian,Babylon,79.B.1/119,,79.B.1/119
P368283,79.B.1/186,Neo-Babylonian,Babylon,79.B.1/186,,79.B.1/186
P368284,79.B.1/194,Neo-Babylonian,Babylon,79.B.1/194,,79.B.1/194
P368285,79.B.1/206,Neo-Babylonian,Babylon,79.B.1/206,,79.B.1/206
P368286,"UET 05, 881",Old Babylonian,Ur,,,
P368287,U 07836b,Old Babylonian,Ur,,,U 07836b
P368288,U 08819c,Old Babylonian,Ur,,,U 08819c
P368289,U 08811,Old Babylonian,Ur,,,U 08811
P368290,U 08819a,Old Babylonian,Ur,,,U 08819a
P368291,U 08819b,Old Babylonian,Ur,,,U 08819b
P368292,U 07813,Old Babylonian,Ur,,,U 07813
P368293,U 16866d,Old Babylonian,Ur,,,U 16866d
P368294,U 08819d,Old Babylonian,Ur,,,U 08819d
P368295,"UET 07, 190",Old Babylonian,Ur,,,
P368296,"UET 07, 191",Old Babylonian,Ur,,,
P368297,U 12998,Old Babylonian,Ur,,,U 12998
P368298,"UET 07, 193",Old Babylonian,Ur,,,
P368299,U 17210,Old Babylonian,Ur,,,U 17210
P368300,"UET 07, 195",Old Babylonian,Ur,,,
P368301,U 08810,Old Babylonian,Ur,,,U 08810
P368302,"UET 07, 197",Old Babylonian,Ur,,,
P368303,"UET 07, 198",Old Babylonian,Ur,,,
P368304,RS 20.160N +,Middle Babylonian,Ras Shamra,,,RS 20.160N +
P368305,RS 21.010 (+) RS 20.222,Middle Babylonian,Ras Shamra,,,RS 21.010 (+) RS 20.222
P368306,RS Pt 1844,Middle Babylonian,Ras Shamra,,,RS Pt 1844
P368307,RS 20.014,Middle Babylonian,Ras Shamra,,,RS 20.014
P368308,AO 18896,Middle Babylonian,Ras Shamra,AO 18896,,RS 06.308
P368309,RS 25.511B,Middle Babylonian,Ras Shamra,,,RS 25.511B
P368707,CBS 19771 + Ist Ni 05175,Old Babylonian,Nippur,CBS 19771 + Ist Ni 05175,,
P368708,Ist Ni 00018,Old Babylonian,Nippur,Ist Ni 00018,,
P368709,Ist Ni 00150,Old Babylonian,Nippur,Ist Ni 00150,,
P368710,Ist Ni 00768,Old Babylonian,Nippur,Ist Ni 00768,,
P368711,Ist Ni 00900,Old Babylonian,Nippur,Ist Ni 00900,,
P368712,Ist Ni 00966,Old Babylonian,Nippur,Ist Ni 00966,,
P368713,Ist Ni 01599,Old Babylonian,Nippur,Ist Ni 01599,,
P368714,Ist Ni 01879,Old Babylonian,Nippur,Ist Ni 01879,,
P368715,Ist Ni 01890,Old Babylonian,Nippur,Ist Ni 01890,,
P368716,Ist Ni 02208,Old Babylonian,Nippur,Ist Ni 02208,,
P368717,Ist Ni 02220,Old Babylonian,Nippur,Ist Ni 02220,,
P368718,Ist Ni 02247,Old Babylonian,Nippur,Ist Ni 02247,,
P368719,Ist Ni 02307,Old Babylonian,Nippur,Ist Ni 02307,,
P368720,Ist Ni 02356,Old Babylonian,Nippur,Ist Ni 02356,,
P368721,Ist Ni 02357,Old Babylonian,Nippur,Ist Ni 02357,,
P368722,Ist Ni 02703,Old Babylonian,Nippur,Ist Ni 02703,,
P368723,Ist Ni 02716,Old Babylonian,Nippur,Ist Ni 02716,,
P368724,Ist Ni 02717,Old Babylonian,Nippur,Ist Ni 02717,,
P368725,Ist Ni 02737,Old Babylonian,Nippur,Ist Ni 02737,,
P368726,Ist Ni 02777,Old Babylonian,Nippur,Ist Ni 02777,,
P368727,Ist Ni 02782,Old Babylonian,Nippur,Ist Ni 02782,,
P368728,Ist Ni 03216,Old Babylonian,Nippur,Ist Ni 03216,,
P368729,Ist Ni 03222,Old Babylonian,Nippur,Ist Ni 03222,,
P368730,Ist Ni 03227,Old Babylonian,Nippur,Ist Ni 03227,,
P368731,Ist Ni 03236,Old Babylonian,Nippur,Ist Ni 03236,,
P368732,Ist Ni 03238,Old Babylonian,Nippur,Ist Ni 03238,,
P368733,Ist Ni 03244,Old Babylonian,Nippur,Ist Ni 03244,,
P368734,Ist Ni 03260,Old Babylonian,Nippur,Ist Ni 03260,,
P368735,Ist Ni 03279,Old Babylonian,Nippur,Ist Ni 03279,,
P368736,Ist Ni 03293,Old Babylonian,Nippur,Ist Ni 03293,,
P368737,Ist Ni 03296,Old Babylonian,Nippur,Ist Ni 03296,,
P368738,Ist Ni 03308,Old Babylonian,Nippur,Ist Ni 03308,,
P368739,Ist Ni 03343,Old Babylonian,Nippur,Ist Ni 03343,,
P368740,Ist Ni 03353,Old Babylonian,Nippur,Ist Ni 03353,,
P368741,Ist Ni 03367,Old Babylonian,Nippur,Ist Ni 03367,,
P368742,Ist Ni 03373,Old Babylonian,Nippur,Ist Ni 03373,,
P368743,Ist Ni 03382,Old Babylonian,Nippur,Ist Ni 03382,,
P368744,Ist Ni 03383,Old Babylonian,Nippur,Ist Ni 03383,,
P368745,Ist Ni 03410,Old Babylonian,Nippur,Ist Ni 03410,,
P368746,Ist Ni 03455,Old Babylonian,Nippur,Ist Ni 03455,,
P368747,Ist Ni 03456,Old Babylonian,Nippur,Ist Ni 03456,,
P368748,Ist Ni 03457,Old Babylonian,Nippur,Ist Ni 03457,,
P368749,Ist Ni 03465,Old Babylonian,Nippur,Ist Ni 03465,,
P368750,Ist Ni 03468,Old Babylonian,Nippur,Ist Ni 03468,,
P368751,Ist Ni 03470,Old Babylonian,Nippur,Ist Ni 03470,,
P368752,Ist Ni 03485,Old Babylonian,Nippur,Ist Ni 03485,,
P368753,Ist Ni 03490,Old Babylonian,Nippur,Ist Ni 03490,,
P368754,Ist Ni 03491,Old Babylonian,Nippur,Ist Ni 03491,,
P368755,Ist Ni 03509 +,Old Babylonian,Nippur,Ist Ni 03509 +,,
P368756,Ist Ni 03510,Old Babylonian,Nippur,Ist Ni 03510,,
P368757,Ist Ni 03515,Old Babylonian,Nippur,Ist Ni 03515,,
P368758,Ist Ni 03556,Old Babylonian,Nippur,Ist Ni 03556,,
P368759,Ist Ni 03557,Old Babylonian,Nippur,Ist Ni 03557,,
P368760,Ist Ni 03562,Old Babylonian,Nippur,Ist Ni 03562,,
P368761,Ist Ni 03579,Old Babylonian,Nippur,Ist Ni 03579,,
P368762,Ist Ni 03609,Old Babylonian,Nippur,Ist Ni 03609,,
P368763,Ist Ni 03612,Old Babylonian,Nippur,Ist Ni 03612,,
P368764,Ist Ni 03633,Old Babylonian,Nippur,Ist Ni 03633,,
P368765,Ist Ni 03634,Old Babylonian,Nippur,Ist Ni 03634,,
P368766,Ist Ni 03638,Old Babylonian,Nippur,Ist Ni 03638,,
P368767,Ist Ni 03639,Old Babylonian,Nippur,Ist Ni 03639,,
P368768,Ist Ni 03652,Old Babylonian,Nippur,Ist Ni 03652,,
P368769,Ist Ni 03661,Old Babylonian,Nippur,Ist Ni 03661,,
P368770,Ist Ni 03664,Old Babylonian,Nippur,Ist Ni 03664,,
P368771,Ist Ni 03678 + 03783,Old Babylonian,Nippur,Ist Ni 03678 + 03783,,
P368772,Ist Ni 03693,Old Babylonian,Nippur,Ist Ni 03693,,
P368773,Ist Ni 03700,Old Babylonian,Nippur,Ist Ni 03700,,
P368774,Ist Ni 03702,Old Babylonian,Nippur,Ist Ni 03702,,
P368775,Ist Ni 03703 +,Old Babylonian,Nippur,Ist Ni 03703 +,,
P368776,Ist Ni 03705,Old Babylonian,Nippur,Ist Ni 03705,,
P368777,Ist Ni 03707,Old Babylonian,Nippur,Ist Ni 03707,,
P368778,Ist Ni 03714,Old Babylonian,Nippur,Ist Ni 03714,,
P368779,Ist Ni 03720,Old Babylonian,Nippur,Ist Ni 03720,,
P368780,Ist Ni 03721,Old Babylonian,Nippur,Ist Ni 03721,,
P368781,Ist Ni 03722 +,Old Babylonian,Nippur,Ist Ni 03722 +,,
P368782,Ist Ni 03740,Old Babylonian,Nippur,Ist Ni 03740,,
P368783,Ist Ni 03741,Old Babylonian,Nippur,Ist Ni 03741,,
P368784,Ist Ni 03742,Old Babylonian,Nippur,Ist Ni 03742,,
P368785,Ist Ni 03743,Old Babylonian,Nippur,Ist Ni 03743,,
P368786,Ist Ni 03746,Old Babylonian,Nippur,Ist Ni 03746,,
P368787,Ist Ni 03750,Old Babylonian,Nippur,Ist Ni 03750,,
P368788,Ist Ni 03753,Old Babylonian,Nippur,Ist Ni 03753,,
P368789,Ist Ni 03767,Old Babylonian,Nippur,Ist Ni 03767,,
P368790,Ist Ni 03772,Old Babylonian,Nippur,Ist Ni 03772,,
P368791,Ist Ni 03779,Old Babylonian,Nippur,Ist Ni 03779,,
P368792,Ist Ni 03786,Old Babylonian,Nippur,Ist Ni 03786,,
P368793,Ist Ni 03794,Old Babylonian,Nippur,Ist Ni 03794,,
P368794,Ist Ni 03795,Old Babylonian,Nippur,Ist Ni 03795,,
P368795,Ist Ni 03796,Old Babylonian,Nippur,Ist Ni 03796,,
P368796,Ist Ni 03798,Old Babylonian,Nippur,Ist Ni 03798,,
P368797,Ist Ni 03802,Old Babylonian,Nippur,Ist Ni 03802,,
P368798,Ist Ni 03811,Old Babylonian,Nippur,Ist Ni 03811,,
P368799,Ist Ni 03814,Old Babylonian,Nippur,Ist Ni 03814,,
P368800,Ist Ni 03815,Old Babylonian,Nippur,Ist Ni 03815,,
P368801,Ist Ni 03836,Old Babylonian,Nippur,Ist Ni 03836,,
P368802,Ist Ni 03885,Old Babylonian,Nippur,Ist Ni 03885,,
P368803,Ist Ni 03896,Old Babylonian,Nippur,Ist Ni 03896,,
P368804,Ist Ni 03898,Old Babylonian,Nippur,Ist Ni 03898,,
P368805,Ist Ni 03908,Old Babylonian,Nippur,Ist Ni 03908,,
P368806,Ist Ni 03915,Old Babylonian,Nippur,Ist Ni 03915,,
P368807,Ist Ni 03920,Old Babylonian,Nippur,Ist Ni 03920,,
P368808,Ist Ni 03936,Old Babylonian,Nippur,Ist Ni 03936,,
P368809,Ist Ni 03937,Old Babylonian,Nippur,Ist Ni 03937,,
P368810,Ist Ni 03960,Old Babylonian,Nippur,Ist Ni 03960,,
P368811,Ist Ni 03971,Old Babylonian,Nippur,Ist Ni 03971,,
P368812,Ist Ni 03976 + 03988 + 05109,Old Babylonian,Nippur,Ist Ni 03976 + 03988 + 05109,,
P368813,Ist Ni 03979,Old Babylonian,Nippur,Ist Ni 03979,,
P368814,Ist Ni 03991,Old Babylonian,Nippur,Ist Ni 03991,,
P368815,Ist Ni 04618,Old Babylonian,Nippur,Ist Ni 04618,,
P368816,Ist Ni 04622,Old Babylonian,Nippur,Ist Ni 04622,,
P368817,Ist Ni 04623,Old Babylonian,Nippur,Ist Ni 04623,,
P368818,Ist Ni 04640,Old Babylonian,Nippur,Ist Ni 04640,,
P368819,Ist Ni 04642,Old Babylonian,Nippur,Ist Ni 04642,,
P368820,Ist Ni 04648,Old Babylonian,Nippur,Ist Ni 04648,,
P368821,Ist Ni 04654,Old Babylonian,Nippur,Ist Ni 04654,,
P368822,Ist Ni 04663,Old Babylonian,Nippur,Ist Ni 04663,,
P368823,Ist Ni 04689,Old Babylonian,Nippur,Ist Ni 04689,,
P368824,Ist Ni 04698,Old Babylonian,Nippur,Ist Ni 04698,,
P368825,Ist Ni 04711,Old Babylonian,Nippur,Ist Ni 04711,,
P368826,Ist Ni 04712,Old Babylonian,Nippur,Ist Ni 04712,,
P368827,Ist Ni 04714,Old Babylonian,Nippur,Ist Ni 04714,,
P368828,Ist Ni 04729,Old Babylonian,Nippur,Ist Ni 04729,,
P368829,Ist Ni 04731,Old Babylonian,Nippur,Ist Ni 04731,,
P368830,Ist Ni 04744,Old Babylonian,Nippur,Ist Ni 04744,,
P368831,Ist Ni 04747,Old Babylonian,Nippur,Ist Ni 04747,,
P368832,Ist Ni 04749,Old Babylonian,Nippur,Ist Ni 04749,,
P368833,Ist Ni 04750,Old Babylonian,Nippur,Ist Ni 04750,,
P368834,Ist Ni 04755,Old Babylonian,Nippur,Ist Ni 04755,,
P368835,Ist Ni 04768,Old Babylonian,Nippur,Ist Ni 04768,,
P368836,Ist Ni 04772,Old Babylonian,Nippur,Ist Ni 04772,,
P368837,Ist Ni 04775,Old Babylonian,Nippur,Ist Ni 04775,,
P368838,Ist Ni 04802,Old Babylonian,Nippur,Ist Ni 04802,,
P368839,Ist Ni 04811,Old Babylonian,Nippur,Ist Ni 04811,,
P368840,Ist Ni 04813,Old Babylonian,Nippur,Ist Ni 04813,,
P368841,Ist Ni 04817,Old Babylonian,Nippur,Ist Ni 04817,,
P368842,Ist Ni 04835,Old Babylonian,Nippur,Ist Ni 04835,,
P368844,Ist Ni 04841,Old Babylonian,Nippur,Ist Ni 04841,,
P368845,Ist Ni 04862,Old Babylonian,Nippur,Ist Ni 04862,,
P368846,Ist Ni 04890,Old Babylonian,Nippur,Ist Ni 04890,,
P368847,Ist Ni 04892,Old Babylonian,Nippur,Ist Ni 04892,,
P368848,Ist Ni 04894,Old Babylonian,Nippur,Ist Ni 04894,,
P368849,Ist Ni 04904,Old Babylonian,Nippur,Ist Ni 04904,,
P368850,Ist Ni 04908,Old Babylonian,Nippur,Ist Ni 04908,,
P368851,Ist Ni 04930,Old Babylonian,Nippur,Ist Ni 04930,,
P368852,Ist Ni 04936,Old Babylonian,Nippur,Ist Ni 04936,,
P368853,Ist Ni 04938,Old Babylonian,Nippur,Ist Ni 04938,,
P368854,Ist Ni 04943,Old Babylonian,Nippur,Ist Ni 04943,,
P368855,Ist Ni 04946,Old Babylonian,Nippur,Ist Ni 04946,,
P368856,Ist Ni 04947,Old Babylonian,Nippur,Ist Ni 04947,,
P368857,Ist Ni 04964,Old Babylonian,Nippur,Ist Ni 04964,,
P368858,Ist Ni 04984,Old Babylonian,Nippur,Ist Ni 04984,,
P368859,Ist Ni 04999,Old Babylonian,Nippur,Ist Ni 04999,,
P368860,Ist Ni 05024,Old Babylonian,Nippur,Ist Ni 05024,,
P368861,Ist Ni 05040,Old Babylonian,Nippur,Ist Ni 05040,,
P368862,Ist Ni 05046,Old Babylonian,Nippur,Ist Ni 05046,,
P368863,Ist Ni 05048,Old Babylonian,Nippur,Ist Ni 05048,,
P368864,Ist Ni 05057,Old Babylonian,Nippur,Ist Ni 05057,,
P368865,Ist Ni 05063,Old Babylonian,Nippur,Ist Ni 05063,,
P368866,Ist Ni 05072,Old Babylonian,Nippur,Ist Ni 05072,,
P368867,Ist Ni 05073,Old Babylonian,Nippur,Ist Ni 05073,,
P368868,Ist Ni 05085,Old Babylonian,Nippur,Ist Ni 05085,,
P368869,Ist Ni 05093,Old Babylonian,Nippur,Ist Ni 05093,,
P368870,Ist Ni 05108,Old Babylonian,Nippur,Ist Ni 05108,,
P368871,Ist Ni 05163,Old Babylonian,Nippur,Ist Ni 05163,,
P368872,Ist Ni 05168,Old Babylonian,Nippur,Ist Ni 05168,,
P368873,Ist Ni 05169,Old Babylonian,Nippur,Ist Ni 05169,,
P368874,Ist Ni 05173,Old Babylonian,Nippur,Ist Ni 05173,,
P368875,Ist Ni 05174,Old Babylonian,Nippur,Ist Ni 05174,,
P368876,Ist Ni 05176,Old Babylonian,Nippur,Ist Ni 05176,,
P368877,Ist Ni 05182,Old Babylonian,Nippur,Ist Ni 05182,,
P368878,Ist Ni 05185,Old Babylonian,Nippur,Ist Ni 05185,,
P368879,Ist Ni 05196,Old Babylonian,Nippur,Ist Ni 05196,,
P368880,Ist Ni 05209,Old Babylonian,Nippur,Ist Ni 05209,,
P368881,Ist Ni 05211,Old Babylonian,Nippur,Ist Ni 05211,,
P368882,Ist Ni 05214,Old Babylonian,Nippur,Ist Ni 05214,,
P368883,Ist Ni 05228,Old Babylonian,Nippur,Ist Ni 05228,,
P368884,Ist Ni 05229,Old Babylonian,Nippur,Ist Ni 05229,,
P368885,Ist Ni 05234,Old Babylonian,Nippur,Ist Ni 05234,,
P368886,Ist Ni 05235,Old Babylonian,Nippur,Ist Ni 05235,,
P368887,Ist Ni 05241,Old Babylonian,Nippur,Ist Ni 05241,,
P368888,Ist Ni 05254,Old Babylonian,Nippur,Ist Ni 05254,,
P368889,Ist Ni 05265,Old Babylonian,Nippur,Ist Ni 05265,,
P368890,Ist Ni 05272,Old Babylonian,Nippur,Ist Ni 05272,,
P368891,Ist Ni 05278,Old Babylonian,Nippur,Ist Ni 05278,,
P368892,Ist Ni 05293,Old Babylonian,Nippur,Ist Ni 05293,,
P368893,Ist Ni 05295,Old Babylonian,Nippur,Ist Ni 05295,,
P368894,Ist Ni 05296,Old Babylonian,Nippur,Ist Ni 05296,,
P368895,Ist Ni 05304,Old Babylonian,Nippur,Ist Ni 05304,,
P368896,Ist Ni 05334,Old Babylonian,Nippur,Ist Ni 05334,,
P368897,Ist Ni 05339,Old Babylonian,Nippur,Ist Ni 05339,,
P368898,Ist Ni 05346,Old Babylonian,Nippur,Ist Ni 05346,,
P368899,Ist Ni 05355,Old Babylonian,Nippur,Ist Ni 05355,,
P368900,Ist Ni 05393,Old Babylonian,Nippur,Ist Ni 05393,,
P368901,Ist Ni 05394,Old Babylonian,Nippur,Ist Ni 05394,,
P368902,Ist Ni 10001,Old Babylonian,Nippur,Ist Ni 10001,,
P368903,Ist Ni 10009,Old Babylonian,Nippur,Ist Ni 10009,,
P368904,Ist Ni 10011,Old Babylonian,Nippur,Ist Ni 10011,,
P368905,Ist Ni 10042,Old Babylonian,Nippur,Ist Ni 10042,,
P368906,Ist Ni 10062,Old Babylonian,Nippur,Ist Ni 10062,,
P368907,Ist Ni 10074,Old Babylonian,Nippur,Ist Ni 10074,,
P368908,Ist Ni 10095,Old Babylonian,Nippur,Ist Ni 10095,,
P368909,Ist Ni 10096,Old Babylonian,Nippur,Ist Ni 10096,,
P368910,Ist Ni 10097,Old Babylonian,Nippur,Ist Ni 10097,,
P368911,Ist Ni 10108,Old Babylonian,Nippur,Ist Ni 10108,,
P368912,Ist Ni 10109,Old Babylonian,Nippur,Ist Ni 10109,,
P368913,Ist Ni 10112,Old Babylonian,Nippur,Ist Ni 10112,,
P368914,Ist Ni 10115,Old Babylonian,Nippur,Ist Ni 10115,,
P368915,Ist Ni 10119,Old Babylonian,Nippur,Ist Ni 10119,,
P368916,Ist Ni 10126,Old Babylonian,Nippur,Ist Ni 10126,,
P368917,Ist Ni 10127,Old Babylonian,Nippur,Ist Ni 10127,,
P368918,Ist Ni 10134,Old Babylonian,Nippur,Ist Ni 10134,,
P368919,Ist Ni 10139,Old Babylonian,Nippur,Ist Ni 10139,,
P368920,Ist Ni 10141,Old Babylonian,Nippur,Ist Ni 10141,,
P368921,Ist Ni 10152,Old Babylonian,Nippur,Ist Ni 10152,,
P368922,Ist Ni 10157,Old Babylonian,Nippur,Ist Ni 10157,,
P368923,Ist Ni 10164,Old Babylonian,Nippur,Ist Ni 10164,,
